model,learning_rate,batch_size,pooling_style,acc,time(预测100条耗时)
bert,1e-3,64,avg,0.6740073406740074,11.577311754226685秒
bert,1e-3,64,max,0.32599265932599264,11.705217599868774秒
bert,1e-3,128,avg,0.6740073406740074,11.661362648010254秒
bert,1e-3,128,max,0.6740073406740074,11.534120321273804秒
bert,1e-5,64,avg,0.8985652318985652,11.941799879074097秒
bert,1e-5,64,max,0.9009009009009009,11.850418090820312秒
bert,1e-5,128,avg,0.8942275608942276,11.863306760787964秒
bert,1e-5,128,max,0.8945612278945613,12.188060522079468秒
bert_lstm,1e-3,64,avg,0.6740073406740074,12.195098400115967秒
bert_lstm,1e-3,64,max,0.6740073406740074,12.069308280944824秒
bert_lstm,1e-3,128,avg,0.6740073406740074,12.235122919082642秒
bert_lstm,1e-3,128,max,0.6740073406740074,8.492626905441284秒
bert_lstm,1e-5,64,avg,0.8898898898898899,8.383570671081543秒
bert_lstm,1e-5,64,max,0.8982315648982315,12.201321601867676秒
bert_lstm,1e-5,128,avg,0.9009009009009009,11.994920253753662秒
bert_lstm,1e-5,128,max,0.9009009009009009,12.059652090072632秒
bert_cnn,1e-3,64,avg,0.6740073406740074,11.61289095878601秒
bert_cnn,1e-3,64,max,0.6740073406740074,7.890497922897339秒
bert_cnn,1e-3,128,avg,0.6740073406740074,10.770037412643433秒
bert_cnn,1e-3,128,max,0.6740073406740074,9.879493474960327秒
bert_cnn,1e-5,64,avg,0.8938938938938938,11.786067485809326秒
bert_cnn,1e-5,64,max,0.8972305638972305,11.728379487991333秒
bert_cnn,1e-5,128,avg,0.9005672339005673,8.208576917648315秒
bert_cnn,1e-5,128,max,0.8995662328995663,11.968833208084106秒
bert_mid_layer,1e-3,64,avg,0.6740073406740074,11.51932692527771秒
bert_mid_layer,1e-3,64,max,0.32599265932599264,12.422891616821289秒
bert_mid_layer,1e-3,128,avg,0.6740073406740074,12.478229761123657秒
bert_mid_layer,1e-3,128,max,0.6740073406740074,8.516607284545898秒
bert_mid_layer,1e-5,64,avg,0.8952285618952286,12.341437339782715秒
bert_mid_layer,1e-5,64,max,0.8995662328995663,12.498651504516602秒
bert_mid_layer,1e-5,128,avg,0.9019019019019019,12.108505487442017秒
bert_mid_layer,1e-5,128,max,0.8855522188855522,8.650355100631714秒
